codeCirconscription;inscrits;votesExprimes;abstentions;tauxAbstention;nomListe;nbVoix;pourcentage
01004;99889;53391;44873;44.92;HUMANITE SOUVERAINE;1;0
01004;99889;53391;44873;44.92;POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !;0;0
01004;99889;53391;44873;44.92;LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR;3200;5.99
01004;99889;53391;44873;44.92;LFI - UP;2830;5.3
01004;99889;53391;44873;44.92;La FRANCE REVIENT;21539.5;40.34
01004;99889;53391;44873;44.92;EUROPE ÉCOLOGIE;2267;4.25
01004;99889;53391;44873;44.92;FREE PALESTINE;6;0.01
01004;99889;53391;44873;44.92;PARTI ANIMALISTE;919.5;1.72
01004;99889;53391;44873;44.92;PARTI REVOLUTIONNAIRE COMMUNISTES;0;0
01004;99889;53391;44873;44.92;PARTI PIRATE;33;0.06
01004;99889;53391;44873;44.92;BESOIN D'EUROPE;7676;14.38
01004;99889;53391;44873;44.92;PACE;2;0
01004;99889;53391;44873;44.92;ÉQUINOXE;153;0.29
01004;99889;53391;44873;44.92;ECOLOGIE POSITIVE;201.5;0.38
01004;99889;53391;44873;44.92;LISTE ASSELINEAU-FREXIT;525.5;0.98
01004;99889;53391;44873;44.92;PAIX ET DECROISSANCE;7;0.01
01004;99889;53391;44873;44.92;POUR UNE AUTRE EUROPE;0;0
01004;99889;53391;44873;44.92;LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE;4251.5;7.96
01004;99889;53391;44873;44.92;LUTTE OUVRIERE;202.5;0.38
01004;99889;53391;44873;44.92;CHANGER L'EUROPE;1;0
01004;99889;53391;44873;44.92;NLP;4.5;0.01
01004;99889;53391;44873;44.92;URGENCE REVOLUTION !;59.5;0.11
01004;99889;53391;44873;44.92;PPL;15;0.03
01004;99889;53391;44873;44.92;L'EUROPE CA SUFFIT !;460.5;0.86
01004;99889;53391;44873;44.92;PRENONS-NOUS EN MAIN;0;0
01004;99889;53391;44873;44.92;FORTERESSE EUROPE;3;0.01
01004;99889;53391;44873;44.92;REVEIL EUR;5840;10.94
01004;99889;53391;44873;44.92;NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL;2;0
01004;99889;53391;44873;44.92;AR;1174.5;2.2
01004;99889;53391;44873;44.92;FRANCE LIBRE;3.5;0.01
01004;99889;53391;44873;44.92;EUROPE TERRITOIRES ÉCOLOGIE;483;0.9
01004;99889;53391;44873;44.92;LA RUCHE CITOYENNE;2;0
01004;99889;53391;44873;44.92;GAUCHE UNIE;803;1.5
01004;99889;53391;44873;44.92;DEFENDRE LES ENFANTS;5.5;0.01
01004;99889;53391;44873;44.92;EAC;706;1.32
01004;99889;53391;44873;44.92;DEMOCRATIE REPRESENTATIVE;0;0
01004;99889;53391;44873;44.92;ESPERANTO;13;0.02
01004;99889;53391;44873;44.92;LIBERTÉ DÉMOCRATIQUE FRANÇAISE;0;0
01005;78135;40106;36725;47;HUMANITE SOUVERAINE;0;0
01005;78135;40106;36725;47;POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !;3;0.01
01005;78135;40106;36725;47;LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR;2398;5.98
01005;78135;40106;36725;47;LFI - UP;3699.5;9.22
01005;78135;40106;36725;47;La FRANCE REVIENT;15694.5;39.13
01005;78135;40106;36725;47;EUROPE ÉCOLOGIE;1776;4.43
01005;78135;40106;36725;47;FREE PALESTINE;24;0.06
01005;78135;40106;36725;47;PARTI ANIMALISTE;774.5;1.93
01005;78135;40106;36725;47;PARTI REVOLUTIONNAIRE COMMUNISTES;0;0
01005;78135;40106;36725;47;PARTI PIRATE;24;0.06
01005;78135;40106;36725;47;BESOIN D'EUROPE;4819.5;12.02
01005;78135;40106;36725;47;PACE;1;0
01005;78135;40106;36725;47;ÉQUINOXE;116;0.29
01005;78135;40106;36725;47;ECOLOGIE POSITIVE;140.5;0.35
01005;78135;40106;36725;47;LISTE ASSELINEAU-FREXIT;462;1.15
01005;78135;40106;36725;47;PAIX ET DECROISSANCE;12;0.03
01005;78135;40106;36725;47;POUR UNE AUTRE EUROPE;1;0
01005;78135;40106;36725;47;LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE;2711.5;6.76
01005;78135;40106;36725;47;LUTTE OUVRIERE;187;0.47
01005;78135;40106;36725;47;CHANGER L'EUROPE;1;0
01005;78135;40106;36725;47;NLP;6;0.01
01005;78135;40106;36725;47;URGENCE REVOLUTION !;61;0.15
01005;78135;40106;36725;47;PPL;15;0.04
01005;78135;40106;36725;47;L'EUROPE CA SUFFIT !;470;1.17
01005;78135;40106;36725;47;PRENONS-NOUS EN MAIN;3;0.01
01005;78135;40106;36725;47;FORTERESSE EUROPE;6;0.01
01005;78135;40106;36725;47;REVEIL EUR;4092.5;10.2
01005;78135;40106;36725;47;NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL;2;0
01005;78135;40106;36725;47;AR;1111;2.77
01005;78135;40106;36725;47;FRANCE LIBRE;10;0.02
01005;78135;40106;36725;47;EUROPE TERRITOIRES ÉCOLOGIE;147.5;0.37
01005;78135;40106;36725;47;LA RUCHE CITOYENNE;2;0
01005;78135;40106;36725;47;GAUCHE UNIE;827.5;2.06
01005;78135;40106;36725;47;DEFENDRE LES ENFANTS;3;0.01
01005;78135;40106;36725;47;EAC;486.5;1.21
01005;78135;40106;36725;47;DEMOCRATIE REPRESENTATIVE;0;0
01005;78135;40106;36725;47;ESPERANTO;18;0.04
01005;78135;40106;36725;47;LIBERTÉ DÉMOCRATIQUE FRANÇAISE;0;0
01003;85985;41944;42982;49.99;HUMANITE SOUVERAINE;0;0
